,CarName,CarYear,CarModel,EngineCapacity(l),HorsePower,CarFuel,CarTransmission,CarDrive,CarOdo(KM),carPrice,carPriceMin,highPrice,goodPrice,defltPrice,removed,minPrice
98,Toyota Land Cruiser Prado,2020,2.8 TX L Package 7 seat Diesel Turbo 4WD,2.8,177,дизель,АКПП,4WD,31,3950000,,0,0,0,0,0
99,Toyota Land Cruiser Prado,2020,2.8 TZ-G Diesel Turbo 4WD,2.8,177,дизель,АКПП,4WD,12,4050000,,0,1,0,0,0
100,Toyota Corolla Fielder,2011,1.5 X 4WD,1.5,105,бензин,вариатор,4WD,150,899000,,0,0,1,0,0
101,Nissan Note,2019,1.2 e-POWER X,1.2,79 ,гибрид,АКПП,передний,60,1030000,,0,0,1,0,0
102,Mazda CX-5,2019,2.5 AT Executive,2.5,194,бензин,АКПП,4WD,53,3170000,,1,0,0,0,0
103,Toyota Wish,2011,1.8 X HID selection,1.8,144,бензин,вариатор,передний,97,1055000,,0,0,1,0,0
104,Toyota Prius,2019,1.8 A Premium 4WD,1.8,98 ,гибрид,вариатор,4WD,74,1730000,,0,0,1,0,0
105,Mitsubishi RVR,2019,1.8 BLACK Edition 4WD,1.8,139,бензин,вариатор,4WD,103,1878000,,0,0,0,1,0
106,Mitsubishi Delica D:5,2016,2.3 D Power Package Diesel Turbo 4WD (7 Seater),2.3,148,дизель,АКПП,4WD,140,1800000,,0,0,1,0,0
107,Hyundai Santa Fe,2005,2.7 4WD AT GLS,2.7,173,бензин,АКПП,4WD,158,550000,,0,0,0,1,0
108,Nissan X-Trail,2018,2.0 20Xi 5-seat 4WD,2.0,147,бензин,вариатор,4WD,39,1999000,,0,0,1,0,0
109,Toyota Vitz,2019,1.3 F 4WD,1.3,95 ,бензин,вариатор,4WD,100,947000,,0,0,1,0,0
110,Toyota Noah,2018,1.8 Hybrid Si WxB (7 Seater),1.8,99 ,гибрид,вариатор,передний,71,2175000,,0,0,1,0,0
111,Nissan Note,2018,1.2 e-POWER X,1.2,79 ,гибрид,АКПП,передний,104,903000,,0,0,1,0,0
112,Honda Civic,2008,1.8 MT EX,1.8,140,бензин,механика,передний,231,650000,,0,0,0,0,0
113,Kia Seltos,2020,2.0 CVT 4WD Premium,2.0,149,бензин,вариатор,4WD,53,2280000,,0,0,1,0,0
114,Toyota Harrier,1999,,2.2,140,бензин,АКПП,передний,221,850000,,0,0,0,1,0
115,Lexus GX460,2016,4.6 AT Executive 5S,4.6,296,бензин,АКПП,4WD,145,4130000,,0,0,1,0,0
116,Toyota RAV4,2015,2.0 МТ ,2.0,анс,бензин,механика,4WD,127,1935000,,0,0,1,0,0
117,BMW X5,2014,xDrive 30d AT,xDr,249,дизель,АКПП,4WD,110,2900000,,0,0,1,0,0
118,JAC T6,2022,2.0 MT Full Extra,2.0,177,бензин,механика,4WD,0,2970000,,0,0,0,0,0
119,Subaru Forester,2022,1.8 Sport 4WD,1.8,177,бензин,вариатор,4WD,1,3490000,,0,0,1,0,0
120,Ford Focus,2009,,1.8,125,бензин,механика,передний,183,480000,,0,0,1,0,0
121,Mercedes-Benz GL-Class,2014,GL 400 4MATIC AT Особая серия,GL ,333,бензин,АКПП,4WD,191,2900000,,0,0,1,0,0
122,BMW X7,2021,xDrive30d AT M Sport Plus,xDr,249,дизель,АКПП,4WD,13,11900000,,0,0,1,0,0
123,BMW M3,2008,4.0 DCT,4.0,420,бензин,робот,задний,91,3490000,,0,0,0,0,0
124,Nissan Fairlady Z,2002,,3.5,280,бензин,механика,задний,62,1000000,,0,0,0,0,0
125,Lexus GS250,2012,,2.5,209,бензин,АКПП,задний,149,2050000,,0,0,1,0,0
126,Mitsubishi L200,2021,2.4 MT Invite+,2.4,154,дизель,механика,4WD,0,4857000,,0,0,0,0,0
127,Lexus RX300,2002,3.0 AT,3.0,201,бензин,АКПП,передний,232,789999,,0,0,1,0,0
128,Jeep Grand Cherokee,2013,3.0 TD AT Laredo,3.0,241,дизель,АКПП,4WD,185,1999999,,0,1,0,0,0
129,Toyota Land Cruiser Prado,2020,2.8 TX L Package 7 seat Diesel Turbo 4WD,2.8,177,дизель,АКПП,4WD,11,3995000,,0,0,0,0,0
130,Toyota Noah,2019,2.0 Si WxB II (7 Seater),2.0,152,бензин,вариатор,передний,73,2090000,,0,0,1,0,0
131,Toyota Hilux,2021,2.4 Z Diesel Turbo 4WD,2.4,150,дизель,АКПП,4WD,16,3500000,,0,0,0,0,0
132,Toyota Land Cruiser Prado,2019,2.8 TX L Package 5 seat Diesel Turbo 4WD,2.8,177,дизель,АКПП,4WD,22,3795000,,0,1,0,0,0
133,Toyota Land Cruiser Prado,2019,2.8 TX L Package 5 seat Diesel Turbo 4WD,2.8,177,дизель,АКПП,4WD,10,3875000,,0,1,0,0,0
134,Toyota Highlander,2003,2.4 AT,2.4,160,бензин,АКПП,4WD,387,880000,,0,0,1,0,0
135,Toyota Prius,2008,1.5 G touring selection,1.5,76 ,гибрид,вариатор,передний,1,868000,,0,0,0,1,0
136,Toyota Lite Ace Noah,1989,,2.2,88 ,дизель,автомат,4WD,305,390000,,0,0,0,0,0
137,Nissan Qashqai,2020,,2.0,144,бензин,вариатор,4WD,10,2000000,,0,1,0,0,0
138,Toyota Land Cruiser Prado,2013,2.7 AT,2.7,163,бензин,АКПП,4WD,151,2970000,,0,0,1,0,0
139,Toyota Land Cruiser,1995,4.5 80 VX 4WD,4.5,215,бензин,АКПП,4WD,210,1190000,,0,0,0,0,0
140,Suzuki Spacia,2016,,0.7,52 ,бензин,вариатор,передний,196,520000,,0,0,1,0,0
141,Land Rover Range Rover Sport,2007,4.2 AT Supercharged,4.2,390,бензин,АКПП,4WD,331,1100000,,0,0,1,0,0
142,Toyota Corolla Fielder,2001,,1.8,190,бензин,механика,передний,444,440000,,0,0,1,0,0
143,Nissan Cube,2002,,1.3,85 ,бензин,АКПП,передний,108,230000,,1,0,0,0,0
144,Toyota Prius,2008,,1.5,76 ,гибрид,вариатор,передний,90,790000,,0,0,1,0,0
145,Nissan Juke,2012,1.6 CVT 2WD SE Sport,1.6,117,бензин,вариатор,передний,"80,красный",920000,,0,0,1,0,0
146,Nissan Pulsar,1999,1.5 Serie REZZO Primary,1.5,105,бензин,АКПП,передний,1,110000,,0,0,0,0,0
147,ГАЗ 3102 Волга,2006,2.4 MT,2.4,137,бензин,механика,задний,580,280000,,1,0,0,0,0
148,Лада Гранта,2015,,1.6,87 ,бензин,механика,передний,22,420000,,0,1,0,0,0
149,Nissan Navara,2008,2.5D AT LE,2.5,174,дизель,АКПП,4WD,290,1120000,,1,0,0,0,0
150,Toyota Highlander,2014,3.5 AT 4WD Престиж,3.5,249,бензин,АКПП,4WD,140,2770000,,0,0,1,0,0
151,Toyota Camry,2011,,2.5,181,бензин,АКПП,передний,260,1300000,,0,0,1,0,0
152,Honda Freed Spike,2010,1.5 G just selection 4WD,1.5,118,бензин,АКПП,4WD,130,799999,,0,0,1,0,0
153,Chevrolet Spark,2010,1.2 MT LT,1.2,82 ,бензин,механика,передний,138,390000,,0,0,0,0,0
154,Toyota Vitz,2010,,1.3,87 ,бензин,вариатор,передний,"157,серебристый",520000,,0,0,1,0,0
155,Honda Vezel,2018,1.5 Hybrid Z Honda Sensing,1.5,132,гибрид,робот,передний,23,1640000,,0,0,1,0,0
156,Land Rover Discovery Sport,2020,2.0 Si4 AT SE,2.0,249,бензин,АКПП,4WD,24,4450000,,0,0,1,0,0
157,Лада Приора,2012,,1.6,98 ,бензин,механика,передний,197,450000,,1,0,0,0,0
158,Honda Odyssey,2000,,2.3,150,бензин,АКПП,передний,900,430000,,0,0,1,0,0
159,Nissan Sentra,2015,1.6 CVT Elegance Connect,1.6,117,бензин,вариатор,передний,128,950000,,0,0,1,0,0
160,Toyota Passo,2009,,1.0,71 ,бензин,АКПП,передний,101,470000,,0,0,1,0,0
161,Honda Civic,1990,,1.5,100,бензин,АКПП,передний,268,130000,,0,0,0,0,0
162,Toyota RAV4,2005,,2.4,161,бензин,АКПП,передний,219,700000,,0,0,1,0,0
163,Toyota Land Cruiser Prado,2021,4.0 AT 70-th Anniversary,4.0,249,бензин,АКПП,4WD,46,6450000,,0,0,1,0,0
164,Toyota Prius PHV,2019,1.8 A Utility Plus,1.8,98 ,гибрид,вариатор,передний,91,1850000,,0,0,1,0,0
165,Toyota Camry,2013,2.5 6AT Elegance Plus,2.5,181,бензин,АКПП,передний,227,1535000,,0,0,1,0,0
166,Toyota Camry,2007,,2.4,167,бензин,АКПП,передний,230,820000,,0,0,1,0,0
167,Honda Fit,2019,1.3 13G Modulo Style Honda Sensing 4WD,1.3,100,бензин,вариатор,4WD,110,1175000,,0,0,1,0,0
168,Honda Accord,2008,2.4 AT Executive,2.4,201,бензин,АКПП,передний,292,945000,,0,0,1,0,0
169,Lexus ES300,2002,3.0 AT,3.0,220,бензин,АКПП,передний,240,750000,,0,0,1,0,0
170,Лада 4x4 2121 Нива,1992,1.6 MT,1.6,73 ,бензин,механика,4WD,71,215000,,1,0,0,0,0
171,Toyota Sprinter Carib,1997,,1.6,115,бензин,АКПП,4WD,218,210000,,0,0,0,0,0
172,Лада 2107,2003,1.5 MT5 2107,1.5,71 ,бензин,механика,задний,95,97000,,1,0,0,0,0
173,Mazda CX-5,2022,,2.5,194,бензин,автомат,4WD,0,5390000,,0,0,0,0,0
174,Toyota Mark II,1990,,2.0,135,бензин,механика,задний,358,390000,,1,0,0,0,0
175,Toyota Camry,2002,,2.0,150,бензин,автомат,передний,206,505000,,0,0,1,0,0
176,Nissan Note,2015,,1.2,79 ,бензин,вариатор,передний,97,625000,,0,0,1,0,0
177,Chery Tiggo 7 Pro,2021,1.5 CVT Prestige,1.5,147,бензин,вариатор,передний,42,1980000,,0,0,1,0,0
178,ГАЗ 31105 Волга,2007,2.4 MT,2.4,137,бензин,механика,задний,300,105000,,0,0,0,0,0
